Libellé;;Emplois salariés trimestriels - Industrie - Sections B, C, D et E - CVS;Codes;Emplois salariés trimestriels - Construction - Section F - CVS;Codes;Emplois salariés trimestriels - Tertiaire marchand - Sections G, H, I, J, K, L, M, N, R, S, T - CVS;Codes;Emplois salariés trimestriels - Industries extractives, énergie, eau, gestion des déchets et dépollution - A17 : DE - CVS;Codes;Emplois salariés trimestriels - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac - A17 : C1 - CVS;Codes;Emplois salariés trimestriels - Cokéfaction et raffinage - A17 : C2 - CVS;Codes;Emplois salariés trimestriels - Fabrication d'équipements électriques, électroniques, informatiques, fabrication de machines - A17 : C3 - CVS;Codes;Emplois salariés trimestriels - Fabrication de matériels de transport - A17 : C4 - CVS;Codes;Emplois salariés trimestriels - Fabrication d'autres produits industriels - A17 : C5 - CVS;Codes;Emplois salariés trimestriels - Construction - A17 : FZ - CVS;Codes;
IdBank;;001577235;;001577236;;001577237;;001577241;;001577242;;001577243;;001577244;;001577245;;001577246;;001577247;;
Année;Trimestre;
1995;T3;4 104,4;A;1 252,0;A;8 717,8;A;336,8;A;561,0;A;17,1;A;590,8;A;421,7;A;2 177,0;A;1 252,0;A;
1995;T2;4 106,7;A;1 255,9;A;8 671,0;A;336,4;A;560,6;A;17,1;A;590,4;A;419,5;A;2 182,6;A;1 255,9;A;
1995;T1;4 100,3;A;1 257,5;A;8 635,6;A;335,7;A;560,4;A;17,1;A;588,1;A;417,8;A;2 181,3;A;1 257,5;A;
1994;T4;4 089,2;A;1 257,6;A;8 595,4;A;334,8;A;560,2;A;17,3;A;585,4;A;416,5;A;2 175,0;A;1 257,6;A;
1994;T3;4 087,8;A;1 254,2;A;8 568,1;A;333,0;A;560,9;A;17,5;A;585,0;A;417,8;A;2 173,5;A;1 254,2;A;
1994;T2;4 090,4;A;1 249,4;A;8 484,7;A;330,8;A;561,0;A;17,8;A;586,1;A;420,5;A;2 174,3;A;1 249,4;A;
1994;T1;4 092,4;A;1 250,8;A;8 430,2;A;328,8;A;561,1;A;18,1;A;586,8;A;423,0;A;2 174,5;A;1 250,8;A;
1993;T4;4 116,9;A;1 255,4;A;8 373,6;A;326,1;A;561,1;A;18,2;A;592,3;A;428,8;A;2 190,5;A;1 255,4;A;
1993;T3;4 149,6;A;1 265,0;A;8 348,1;A;326,6;A;560,7;A;18,2;A;597,3;A;434,6;A;2 212,2;A;1 265,0;A;
1993;T2;4 191,3;A;1 282,6;A;8 310,7;A;325,9;A;561,0;A;18,2;A;603,9;A;440,2;A;2 242,2;A;1 282,6;A;
1993;T1;4 251,0;A;1 300,4;A;8 325,7;A;326,4;A;561,2;A;18,2;A;614,7;A;446,3;A;2 284,2;A;1 300,4;A;
1992;T4;4 303,0;A;1 322,6;A;8 336,8;A;327,5;A;562,1;A;18,5;A;625,3;A;448,6;A;2 320,9;A;1 322,6;A;
1992;T3;4 359,4;A;1 344,9;A;8 373,7;A;329,1;A;564,2;A;18,7;A;634,6;A;453,9;A;2 358,9;A;1 344,9;A;
