BRANCHE;ENERGIE;USAGE;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Habitat Communautaire;Fioul;Chauffage;3209;3177;3222;3305;3450;3294;3215;3219;3094;3026;2951;2796;2718;2634;2412;2308;2209;2108;2016;2014;1905
Habitat Communautaire;Fioul;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Habitat Communautaire;Fioul;Cuisson;13;13;13;13;10;10;10;10;10;10;10;9,2;8,9;8,6;8,1;7,8;7,6;7,3;7,3;7,2;6,9
Habitat Communautaire;Fioul;ECS;716;735;756;739;750;720;746;726;723;712;705;669;651;645;626;629;623;620;619;626;621
Habitat Communautaire;Fioul;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Habitat Communautaire;Gaz;Autres usages thermiques;177;187;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197;197
Habitat Communautaire;Gaz;Chauffage;2488;2521;2578;2723;2695;2732;2786;2756;2768;2838;2895;3002;3108;3261;3341;3392;3484;3479;3528;3513;3448
Habitat Communautaire;Gaz;Climatisation;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Habitat Communautaire;Gaz;Cuisson;601;626;628;627;642;645;647;650;659;686;720;726;728;748;759;768;780;787;799;801;791
Habitat Communautaire;Gaz;ECS;776;815;816;859;904;949;959;986;999;1032;1080;1115;1163;1213;1248;1269;1293;1308;1330;1336;1340
Habitat Communautaire;Gaz;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Habitat Communautaire;Autres comb.;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Habitat Communautaire;Autres comb.;Chauffage;231;232;249;270;275;267;266;276;279;272;268;267;274;281;282;287;288;287;287;296;310
Habitat Communautaire;Autres comb.;Climatisation;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1
Habitat Communautaire;Autres comb.;Cuisson;226;226;213;213;216;208;205;206;216;211;211;204;205;212;206;209;209;209;203;203;212
Habitat Communautaire;Autres comb.;ECS;81;85;89;92;103;100;98;102;109;111;113;113;118;124;127;134;138;142;143;147;157
Habitat Communautaire;Autres comb.;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santé Action Sociale;Electricité;Autres usages thermiques;392;392;397;397;397;397;397;397;397;397;397;397;397;397;397;397;397;397;397;397;397
Santé Action Sociale;Electricité;Chauffage;1008;982;979;1031;1057;1066;1044;1089;1089;1069;1142;1164;1211;1256;1281;1309;1328;1372;1396;1406;1446
Santé Action Sociale;Electricité;Climatisation;750;781;801;837;888;927;942;1018;1041;1107;1174;1230;1321;1377;1456;1504;1549;1615;1697;1765;1799
Santé Action Sociale;Electricité;Cuisson;388;388;393;397;408;417;421;428;434;439;460;463;471;473;476;485;497;508;510;511;515
Santé Action Sociale;Electricité;ECS;619;625;642;648;656;634;642;669;681;687;723;727;739;744;756;777;797;820;831;840;851
Santé Action Sociale;Electricité;Electricité spécifique;2876;2906;2884;2974;3058;3199;3334;3425;3483;3574;3668;3744;3851;4005;4079;4141;4137;4194;4244;4261;4317
Santé Action Sociale;Fioul;Autres usages thermiques;920;919;940;940;940;940;940;940;940;940;940;940;940;940;940;940;940;940;940;940;940
