ID_AGREG;EXIGENCE;GESTE;GAIN;COUT;CEE
0102452106;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;0
0102452207;BBC renovation;ENSBBC;0.380351815;159.5413975;0
0102452207;BBC renovation;FENBBC;0.124609553;50.83499308;0
0102452207;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;0
0102452308;BBC renovation;ENSBBC;0.380351815;159.5413975;0
0102452308;BBC renovation;FENBBC;0.124609553;50.83499308;0
0102452308;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;0
0102830701;BBC renovation;FENBBC;0.507409097;111.379545;406.6513596
0102830701;RT par element;FENMOD;0;0;0
0102830701;BBC renovation;FEN_MURBBC;0.710372736;135.5117798;802.2807851
0102830701;RT par element;FEN_MURMOD;0;0;0
0102830701;BBC renovation;ENSBBC;0.939646476;223.5496581;4771.030785
0102830701;RT par element;ENSMOD;0;0;0
0102831102;BBC renovation;FENBBC;0.409898333;194.9142038;406.6513596
0102831102;RT par element;FENMOD;0;0;0
0102831102;BBC renovation;FEN_MURBBC;0.742457358;389.8284075;406.6513596
0102831102;RT par element;FEN_MURMOD;0;0;0
0102831102;BBC renovation;ENSBBC;0.859325645;473.2682865;406.6513596
0102831102;RT par element;ENSMOD;0;0;0
0102831703;BBC renovation;FENBBC;0.522145204;111.379545;406.6513596
0102831703;RT par element;FENMOD;0;0;0
0102831703;BBC renovation;FEN_MURBBC;0.731003286;135.5117798;802.2807851
0102831703;RT par element;FEN_MURMOD;0.550956752;22.275909;0
0102831703;BBC renovation;ENSBBC;0.966935563;223.2700581;3446.030785
0102831703;RT par element;ENSMOD;0.655900895;32.5004989;0
0102831904;BBC renovation;ENSBBC;0.380351815;159.5413975;406.6513596
0102831904;BBC renovation;FENBBC;0.124609553;50.83499308;406.6513596
0102831904;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;406.6513596
0102832005;BBC renovation;ENSBBC;0.380351815;159.5413975;406.6513596
0102832005;BBC renovation;FENBBC;0.124609553;50.83499308;406.6513596
0102832005;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;406.6513596
0102832106;BBC renovation;ENSBBC;0.380351815;159.5413975;406.6513596
0102832106;BBC renovation;FENBBC;0.124609553;50.83499308;406.6513596
0102832106;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;406.6513596
0102832207;BBC renovation;ENSBBC;0.380351815;159.5413975;406.6513596
0102832207;BBC renovation;FENBBC;0.124609553;50.83499308;406.6513596
0102832207;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;406.6513596
0102832308;BBC renovation;ENSBBC;0.380351815;159.5413975;406.6513596
0102832308;BBC renovation;FENBBC;0.124609553;50.83499308;406.6513596
0102832308;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;406.6513596
0102840701;BBC renovation;FENBBC;0.490077504;125.9136;459.7158
0102840701;RT par element;FENMOD;0;0;0
0102840701;BBC renovation;FEN_MURBBC;0.686108506;153.19488;906.9714
0102840701;RT par element;FEN_MURMOD;0;0;0
0102840701;BBC renovation;ENSBBC;0.907550933;240.948847;4875.7214
0102840701;RT par element;ENSMOD;0;0;0
0102841102;BBC renovation;FENBBC;0.376262132;220.3488;459.7158
0102841102;RT par element;FENMOD;0;0;0
