BRANCHE;SS_BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;ID_AGREG;PERIODE;RDT;COUT;CEE
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Electrique direct;Electricité;0204790602;1;0.92;10.4;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;PAC;Electricité;0204790902;1;2.944895442;47.881866;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Rooftop;Electricité;0204791002;1;2.804101953;139.71027;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Autre système centralisé performant;Autres;0204792101;1;0.848845734;92.225;119
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Autre système centralisé performant;Urbain;0204792106;1;0.797732058;92.225;2035
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Chaudière condensation fioul;Fioul;0204792303;1;0.746208778;100.388;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Chaudière condensation gaz;Gaz;0204792404;1;0.9738116;100.388;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Electrique direct performant;Electricité;0204792602;1;1;12;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;PAC performant;Electricité;0204792902;1;3.397956279;57.00222143;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Rooftop performant;Electricité;0204793002;1;3.328610233;166.32175;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Autre système centralisé;Autres;0218200101;1;0.698966268;19.83313237;119
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Autre système centralisé;Urbain;0218200106;1;0.614101436;19.99526673;1815
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière fioul;Fioul;0218200303;1;0.565301454;12.39080515;1043
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière gaz;Gaz;0218200404;1;0.681007328;9.031346824;1043
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Electrique direct;Electricité;0218200602;1;0.92;10.4;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;PAC;Electricité;0218200902;1;2.944895442;53.37633032;1312.5
