BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;COUT;DUREE_VIE;BESOIN_U;RDT;PM_2009;COUT_ENERGIE
Santé Action Sociale;Hopital maison;PAC;Electricité;36.65569924;20;119.3938995;2.773716447;0.141457615;0.0774
Commerce;Grand brico;Autre système centralisé performant;Autres;38.22706964;25;113.3594351;1.881930521;9.994E-05;0.015468227
Commerce;Grand brico;Autre système centralisé performant;Urbain;37.92676776;25;111.4002863;1.878174747;9.994E-05;0.0616
Commerce;Grand brico;Chaudière condensation fioul;Fioul;26.24393225;20;112.9546343;0.761583139;9.994E-05;0.074414716
Commerce;Grand brico;Chaudière condensation gaz;Gaz;18.70107807;20;114.4173888;0.989367103;9.994E-05;0.0513
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Rooftop;Electricité;37.91119169;17;132.3577516;2.672974884;0.116704296;0.0774
Café Hôtel Restaurant;Petite cantine;Electrique direct;Electricité;10;13;96.35353236;0.9;0.141356473;0.0774
Sport Loisir Culture;Piscine;Chaudière fioul;Fioul;13.39942448;20;52.28431622;0.68101526;0.012124041;0.074414716
Commerce;Grand brico;Electrique direct performant;Electricité;12;13;110.8270688;1;9.994E-05;0.0774
Bureaux Administration;plateau large bureaux cloisonnés;Electrique direct;Electricité;10;13;84.30010892;0.9;0.120354273;0.0774
Commerce;Grand brico;Rooftop performant;Electricité;48.74294623;17;115.658077;3.328610233;9.994E-05;0.0774
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Autre système centralisé;Urbain;21.58069507;25;90.42531706;0.616666667;0.085404697;0.0616
Sport Loisir Culture;Grand cinéma;PAC;Electricité;20.54008655;20;68.50063521;2.842911628;0.123398446;0.0774
Commerce;Grand commerce de gros;Autre système centralisé performant;Autres;34.82897892;25;85.50686564;1.874781703;9.994E-05;0.015468227
Commerce;Grand commerce de gros;Autre système centralisé performant;Urbain;34.73255417;25;81.31678654;1.90240582;9.994E-05;0.0616
Commerce;Grand commerce de gros;Chaudière condensation fioul;Fioul;10.05095216;20;83.82581539;0.761583139;9.994E-05;0.074414716
Commerce;Grand commerce de gros;Chaudière condensation gaz;Gaz;7.555895665;20;83.86674549;0.989367103;9.994E-05;0.0513
Sport Loisir Culture;Vestiaire et rangement;PAC;Electricité;51.32944748;20;105.7692782;2.842911628;0.119001249;0.0774
Café Hôtel Restaurant;Grand restaurant rapide;Rooftop;Electricité;60.20812106;17;162.4401495;2.672974884;0.122564458;0.0774
Bureaux Administration;plateau large bureau paysagés;Autre système centralisé;Urbain;15.67370629;25;67.84132092;0.656103596;0.086369328;0.0616
Commerce;Grand commerce de gros;Electrique direct performant;Electricité;12;13;85.48528338;1;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Rooftop;Electricité;46.50446849;17;141.2199111;2.672974884;0.126534647;0.0774
Commerce;Grand commerce de gros;Rooftop performant;Electricité;39.22885946;17;82.70205257;3.328610233;9.994E-05;0.0774
Café Hôtel Restaurant;Grand restaurant traditionnel;Rooftop;Electricité;43.62309063;17;98.93868709;2.672974884;0.125744859;0.0774
Santé Action Sociale;Garderie;Electrique direct;Electricité;10;13;81.028829;0.9;0.143074801;0.0774
Commerce;Grand librairie;Autre système centralisé performant;Autres;32.92865674;25;72.08483329;1.870516216;9.994E-05;0.015468227
