annee;branche;periodeSimple;energieChauffage;systeme_chauff;surface
2010;06;03;01;01;1319898.1945
2010;06;03;02;06;4506266.705000001
2010;06;03;02;09;3941025.806700001
2010;06;03;03;03;1.1612312815999996E7
2010;06;03;04;04;3.2369340430100005E7
2010;06;03;04;24;130066.58619999999
2010;06;03;06;01;5308833.617899999
2010;06;04;01;01;16643.3498
2010;06;04;02;06;58082.913400000005
2010;06;04;02;09;197468.74279999998
2010;06;04;02;26;19168.194899999995
2010;06;04;02;29;9756.142200000002
2010;06;04;04;04;954520.7815000002
2010;06;04;04;24;298908.3019999999
2010;06;04;06;01;8157.798299999999
2010;07;01;01;01;1809612.6618000006
2010;07;01;01;21;49620.5934
2010;07;01;02;02;1626487.5674000005
2010;07;01;02;05;254405.82129999995
2010;07;01;02;06;2319650.0658999993
2010;07;01;02;09;1332914.8312
2010;07;01;02;10;456298.2860999999
2010;07;01;02;29;921.9849
2010;07;01;02;30;62068.391899999995
2010;07;01;03;03;2574673.064599999
2010;07;01;04;04;6884520.173300001
2010;07;01;04;11;3043292.6291
2010;07;01;04;31;106076.18710000002
2010;07;01;06;01;1033010.5454999998
2010;07;02;01;01;1242449.7296999998
2010;07;02;01;21;40603.9007
2010;07;02;02;02;904337.4689000001
2010;07;02;02;05;346920.49230000004
2010;07;02;02;06;1505161.5188999998
2010;07;02;02;09;666461.3125999997
2010;07;02;02;10;300985.63879999996
2010;07;02;02;29;1425.288
2010;07;02;02;30;31007.079599999994
2010;07;02;03;03;1955708.3047999996
2010;07;02;04;04;4929788.681700001
2010;07;02;04;11;1909751.8783999998
2010;07;02;04;31;65269.0597
2010;07;02;06;01;653730.4272
2010;07;03;01;01;2503050.101799999
2010;07;03;01;21;163025.7604
2010;07;03;02;02;1842577.6114999999
2010;07;03;02;05;847238.9546999999
2010;07;03;02;06;2881619.3701000013
2010;07;03;02;09;2909930.4801000003
2010;07;03;02;10;509371.37600000005
2010;07;03;02;29;734.8297
2010;07;03;02;30;279403.39070000005
2010;07;03;03;03;5461804.688499998
2010;07;03;04;04;8403087.225900002
2010;07;03;04;11;3249394.644399999
2010;07;03;04;24;102.0739
2010;07;03;04;31;206799.05569999997
2010;07;03;06;01;2889633.0039
2010;07;04;01;01;1082.0857999999998
2010;07;04;01;21;33794.5063
2010;07;04;02;02;15525.4558
2010;07;04;02;05;11385.041500000001
2010;07;04;02;06;34053.1185
2010;07;04;02;09;23164.4744
2010;07;04;02;10;197919.1947
2010;07;04;02;22;6106.5865
2010;07;04;02;25;13.570300000000001
2010;07;04;02;26;7022.2390000000005
2010;07;04;02;29;1482.8781000000004
2010;07;04;02;30;91608.92449999996
2010;07;04;03;03;1.2834
2010;07;04;04;04;8661.733100000001
2010;07;04;04;11;104634.77500000005
2010;07;04;04;24;1043.9806
2010;07;04;04;31;52853.3651
2010;07;04;06;01;475.9863
2010;07;04;06;21;2381.1614
2010;08;01;01;08;41984.1608
2010;08;01;02;08;220078.4478
2010;08;01;03;08;208487.4404
2010;08;01;04;08;561336.2926
2010;08;01;06;08;70972.4737
2010;08;02;01;08;31342.043499999996
2010;08;02;02;08;190979.14439999993
2010;08;02;03;08;147199.35210000002
2010;08;02;04;08;514340.4394
2010;08;02;06;08;15508.6464
2010;08;03;01;08;969399.0624999999
2010;08;03;02;08;5697183.9133
2010;08;03;03;08;5216287.642
2010;08;03;04;08;9949782.7125
2010;08;03;06;08;1031441.0436999999
2010;08;04;01;08;23380.71120000001
2010;08;04;02;08;2300.2533999999996
2010;08;04;03;08;4821.7856999999985
2010;08;04;04;08;171961.84859999997
2010;08;04;06;08;23497.0107
2011;01;01;01;01;1123031.3397
2011;01;01;02;05;1042141.1128
2011;01;01;02;06;1.13645477765E7
2011;01;01;02;09;6840358.123299998
2011;01;01;02;26;55845.7091
2011;01;01;03;03;5757073.738199999
2011;01;01;04;04;2.1899073521599997E7
2011;01;01;06;01;3891926.268600003
2011;01;02;01;01;829207.9644999999
2011;01;02;02;05;864351.4873
2011;01;02;02;06;8687770.0201
2011;01;02;02;09;5487145.4275
2011;01;02;02;26;19423.4756
2011;01;02;03;03;4176108.557900001
2011;01;02;04;04;1.6551272838700002E7
2011;01;02;06;01;2539208.3721000007
2011;01;03;01;01;2068187.9416000003
2011;01;03;02;05;2440984.3127
2011;01;03;02;06;2.19790842909E7
2011;01;03;02;09;1.40309405601E7
2011;01;03;02;26;291950.18230000004
2011;01;03;03;03;1.2816578072500004E7
2011;01;03;04;04;4.890389503319999E7
2011;01;03;04;24;890975.0624999999
2011;01;03;06;01;8493478.348299999
2011;01;04;01;01;146460.60460000008
2011;01;04;01;21;39561.1475
2011;01;04;02;05;76136.7534
2011;01;04;02;06;1989456.7336000002
2011;01;04;02;09;307834.33550000016
2011;01;04;02;26;555256.1012999999
2011;01;04;04;04;2077524.4990999997
2011;01;04;04;24;1457313.4099999995
2011;01;04;06;01;59133.9204
2011;01;04;06;21;32925.1363
2011;02;01;01;01;303617.9694999999
2011;02;01;02;06;2178716.7281000004
2011;02;01;02;09;933029.9646
2011;02;01;02;10;1744908.7267
2011;02;01;02;26;5180.1219
2011;02;01;03;03;2131132.4663
2011;02;01;04;04;3889323.4620000008
2011;02;01;06;01;609787.6043
2011;02;02;01;01;148177.0716
2011;02;02;02;06;1154720.4393000002
2011;02;02;02;09;492466.69560000004
2011;02;02;02;10;1002965.6090000004
2011;02;02;02;26;1614.0286999999998
2011;02;02;03;03;1149381.2154
2011;02;02;04;04;2025272.5522000003
2011;02;02;06;01;263073.76480000006
2011;02;03;01;01;1020067.2149000003
2011;02;03;02;06;8228051.274899997
2011;02;03;02;09;3561151.9215999995
2011;02;03;02;10;6688239.522
2011;02;03;02;26;27203.805500000006
2011;02;03;03;03;8061981.3439
2011;02;03;04;04;1.5198893652100004E7
2011;02;03;04;24;553.4071
2011;02;03;06;01;2865360.6295
2011;02;04;01;01;9873.434000000001
2011;02;04;01;21;896.8888000000001
2011;02;04;02;06;65397.110900000014
2011;02;04;02;09;315349.06769999996
2011;02;04;02;10;597343.8712999999
2011;02;04;02;26;56486.5641
2011;02;04;02;29;24244.748499999998
2011;02;04;02;30;16200.396900000002
2011;02;04;04;04;67743.17169999999
2011;02;04;04;24;34519.456999999995
2011;02;04;06;01;14.9399
2011;03;01;01;01;2273200.0602999995
2011;03;01;02;06;8127929.041200002
2011;03;01;02;09;2054423.9694000003
2011;03;01;02;10;4873758.315200001
2011;03;01;02;26;102349.0771
2011;03;01;03;03;9571893.7231
2011;03;01;04;04;1.70790811171E7
2011;03;01;04;24;101619.84460000001
2011;03;01;06;01;1133225.8733
2011;03;02;01;01;2221650.6169
2011;03;02;02;06;8090202.851399999
2011;03;02;02;09;1989843.1969999997
2011;03;02;02;10;4506075.8708
2011;03;02;02;26;121952.48359999999
2011;03;02;03;03;9235737.993800001
2011;03;02;04;04;1.6520607578700002E7
2011;03;02;04;24;99923.209
2011;03;02;06;01;742201.4317999999
2011;03;03;01;01;5456331.8579
2011;03;03;02;06;1.8197731865399998E7
2011;03;03;02;09;5453675.8495000005
2011;03;03;02;10;1.3170166049899999E7
2011;03;03;02;26;191869.4471
2011;03;03;03;03;2.40405556682E7
2011;03;03;04;04;4.1826224973900005E7
2011;03;03;04;24;256112.6162
2011;03;03;06;01;4699499.7908000015
2011;03;04;01;01;420174.08809999994
2011;03;04;01;21;743.8514
2011;03;04;02;06;361628.2771
2011;03;04;02;09;347029.6850999999
2011;03;04;02;10;861392.4730999997
2011;03;04;02;26;259828.72600000008
2011;03;04;02;29;3480.7780000000002
2011;03;04;02;30;7736.378799999999
2011;03;04;04;04;662026.6692
2011;03;04;04;24;235514.56050000002
2011;03;04;06;01;325853.65050000005
2011;03;04;06;21;27161.77230000001
2011;04;01;01;01;2157515.6481
2011;04;01;02;06;4052735.641700001
2011;04;01;02;09;1711091.5463
2011;04;01;02;26;4.1546
2011;04;01;03;03;1.1020261685100002E7
2011;04;01;04;04;3.3687572015E7
2011;04;01;04;24;158683.6798
2011;04;01;06;01;3413725.8563000006
2011;04;02;01;01;925311.5500000003
2011;04;02;02;06;1931252.6150999996
2011;04;02;02;09;836117.7186000003
2011;04;02;03;03;4412580.469800001
2011;04;02;04;04;1.3682970833699998E7
2011;04;02;04;24;116556.85819999999
2011;04;02;06;01;1982001.3700000003
2011;04;03;01;01;3895883.1724999994
2011;04;03;02;06;4980818.419500001
2011;04;03;02;09;3742900.9916999987
2011;04;03;02;26;0.0972
2011;04;03;03;03;2.08480484828E7
2011;04;03;04;04;5.872842402399999E7
2011;04;03;04;24;664806.0122
2011;04;03;06;01;5591717.642700001
2011;04;04;01;01;54035.160899999995
2011;04;04;01;21;524.9653
2011;04;04;02;06;723425.6790999998
2011;04;04;02;09;228979.017
2011;04;04;02;26;262460.2294
2011;04;04;02;29;3760.8471999999997
2011;04;04;03;03;13742.235100000002
2011;04;04;04;04;1507840.0477
2011;04;04;04;24;269391.24929999985
2011;04;04;06;01;51751.5863
2011;04;04;06;21;3095.1299999999997
2011;05;01;01;01;1477121.5181999998
2011;05;01;02;06;3025600.3994000005
2011;05;01;02;09;815648.9684999998
2011;05;01;03;03;5856908.081500001
2011;05;01;04;04;9731455.7628
2011;05;01;06;01;811137.2315
2011;05;02;01;01;511604.9039
2011;05;02;02;06;1062048.14
2011;05;02;02;09;288765.7006
2011;05;02;03;03;2160568.9699999997
2011;05;02;04;04;3925071.6087999996
2011;05;02;06;01;415831.8574
2011;05;03;01;01;3297328.0882
2011;05;03;02;06;4276583.306699998
2011;05;03;02;09;1374691.1060000004
2011;05;03;03;03;8607225.587399999
2011;05;03;04;04;1.4791906166000005E7
2011;05;03;06;01;1448969.833
2011;05;04;01;01;255705.08840000004
2011;05;04;01;21;6052.054800000001
2011;05;04;02;06;36420.973900000005
2011;05;04;02;09;178967.50480000005
2011;05;04;02;26;20334.076399999994
2011;05;04;02;29;10173.7779
2011;05;04;04;04;275174.2355
2011;05;04;04;24;62131.594
2011;05;04;06;01;296642.29819999996
2011;05;04;06;21;47424.05859999999
2011;06;01;01;01;708406.616
2011;06;01;02;06;3141653.2968000006
2011;06;01;02;09;1645327.425
2011;06;01;03;03;5514980.3448
2011;06;01;04;04;1.5686194943400001E7
2011;06;01;04;24;3086.0088
2011;06;01;06;01;2309892.2711
2011;06;02;01;01;279495.04029999994
2011;06;02;02;06;2165649.0146999997
2011;06;02;02;09;1212130.4015000002
2011;06;02;03;03;2937684.3932
2011;06;02;04;04;9340762.301199999
2011;06;02;04;24;1694.4354999999998
2011;06;02;06;01;1110686.6534000002
2011;06;03;01;01;1262721.8624
2011;06;03;02;06;4317591.668499999
2011;06;03;02;09;3823172.442099999
2011;06;03;03;03;1.11092820137E7
2011;06;03;04;04;3.2971163622700002E7
2011;06;03;04;24;522917.0036
2011;06;03;06;01;5078861.6152
2011;06;04;01;01;42388.714499999995
2011;06;04;02;06;122505.39749999998
2011;06;04;02;09;480269.7553
2011;06;04;02;26;42001.8584
2011;06;04;02;29;26895.0638
2011;06;04;04;04;1820501.9367999998
2011;06;04;04;24;598985.7593
2011;06;04;06;01;12315.8935
2011;07;01;01;01;1732633.1948
2011;07;01;01;21;99953.3598
2011;07;01;02;02;1562615.5568000001
2011;07;01;02;05;259674.4442
2011;07;01;02;06;2266405.7189999986
2011;07;01;02;09;1284482.8515999997
2011;07;01;02;10;809832.5472000001
2011;07;01;02;29;1727.5028000000002
2011;07;01;02;30;152721.8026
2011;07;01;03;03;2464082.2184
2011;07;01;04;04;6597171.171399999
2011;07;01;04;11;3071172.3497999995
2011;07;01;04;31;233493.72910000003
2011;07;01;06;01;988634.1914999998
2011;07;02;01;01;1189083.0361000001
2011;07;02;01;21;81098.867
2011;07;02;02;02;875607.7895000001
2011;07;02;02;05;338670.69060000003
2011;07;02;02;06;1475188.7181000002
2011;07;02;02;09;646176.5205999999
2011;07;02;02;10;534703.3430999999
2011;07;02;02;29;2616.5134
2011;07;02;02;30;69543.596
2011;07;02;03;03;1871706.2386999996
2011;07;02;04;04;4718044.3106999975
2011;07;02;04;11;1966922.7332999995
2011;07;02;04;31;139060.91
2011;07;02;06;01;625650.5676999997
2011;07;03;01;01;2576496.4257
2011;07;03;01;21;325477.9665
2011;07;03;02;02;1765809.5813000002
2011;07;03;02;05;861151.6325
2011;07;03;02;06;2763024.533700002
2011;07;03;02;09;2838210.413199999
2011;07;03;02;10;798949.9334000002
2011;07;03;02;29;1462.1033000000002
2011;07;03;02;30;579818.7310999999
2011;07;03;03;03;5227207.9043000005
2011;07;03;04;04;8043951.1724
2011;07;03;04;11;3158723.5647999994
2011;07;03;04;24;101.937
2011;07;03;04;31;398713.6514
2011;07;03;06;01;2765514.3321999996
2011;07;04;01;01;2880.0490000000004
2011;07;04;01;21;69320.30459999999
2011;07;04;02;02;31331.6524
2011;07;04;02;05;23700.196500000002
2011;07;04;02;06;69133.23520000004
2011;07;04;02;09;56457.99249999999
2011;07;04;02;10;396824.55340000003
2011;07;04;02;22;13572.1426
2011;07;04;02;25;29.6219
2011;07;04;02;26;15424.935099999999
2011;07;04;02;29;3702.6748999999995
2011;07;04;02;30;188975.6424
2011;07;04;03;03;1.2834
2011;07;04;04;04;15480.5217
2011;07;04;04;11;190208.2976
2011;07;04;04;24;2025.6977
2011;07;04;04;31;105691.4035
2011;07;04;06;01;904.117
2011;07;04;06;21;5109.3838000000005
2011;08;01;01;08;40165.0804
2011;08;01;02;08;210541.27459999995
2011;08;01;03;08;199451.8371
2011;08;01;04;08;582887.6398
2011;08;01;06;08;67896.8289
2011;08;02;01;08;29981.472299999998
2011;08;02;02;08;182703.96429999996
2011;08;02;03;08;140821.5308
2011;08;02;04;08;529463.3208
2011;08;02;06;08;14835.522699999998
2011;08;03;01;08;927394.0102000001
2011;08;03;02;08;5450336.7911
2011;08;03;03;08;4990277.4731
2011;08;03;04;08;1.04696998379E7
2011;08;03;06;08;986750.7379
2011;08;04;01;08;59565.36279999999
2011;08;04;02;08;6378.1221000000005
2011;08;04;03;08;6724.920400000002
2011;08;04;04;08;338052.39799999987
2011;08;04;06;08;42860.54340000001
2012;01;01;01;01;1072657.0380999998
2012;01;01;02;05;995395.1946
2012;01;01;02;06;1.2604001572599996E7
2012;01;01;02;09;6533529.404500001
2012;01;01;02;26;91307.51239999999
2012;01;01;03;03;5498836.446100001
2012;01;01;04;04;2.138607648540001E7
2012;01;01;06;01;3717351.381000001
2012;01;02;01;01;792013.3017999999
2012;01;02;02;05;825580.4381999999
2012;01;02;02;06;9600218.4844
2012;01;02;02;09;5241015.945400001
2012;01;02;02;26;32639.5422
2012;01;02;03;03;3988786.4887000006
