BRANCHE;BAT_TYPE;USAGE;Etat de référence RT2000;2010-2015;2015-2020;2020-2030;2030-2040;2040-2050
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Auxiliaires;14.68;10.28;5.14;5.14;5.14;5.14
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Auxiliaires;15.75;11.03;5.51;5.51;5.51;5.51
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Auxiliaires;13.84;9.69;4.84;4.84;4.84;4.84
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Auxiliaires;12.11;8.48;4.24;4.24;4.24;4.24
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Auxiliaires;19.96;13.97;6.99;6.99;6.99;6.99
Café Hôtel Restaurant;Grand restaurant rapide;Auxiliaires;22.11;15.48;7.74;7.74;7.74;7.74
Café Hôtel Restaurant;Grand restaurant traditionnel;Auxiliaires;16.41;11.49;5.74;5.74;5.74;5.74
Café Hôtel Restaurant;Grande cantine;Auxiliaires;13.17;9.22;4.61;4.61;4.61;4.61
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Auxiliaires;19.96;13.97;6.99;6.99;6.99;6.99
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Auxiliaires;16.88;11.82;5.91;5.91;5.91;5.91
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Auxiliaires;19.96;13.97;6.99;6.99;6.99;6.99
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Luxe;Auxiliaires;19.96;13.97;6.99;6.99;6.99;6.99
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Auxiliaires;23.1;16.17;8.09;8.09;8.09;8.09
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Auxiliaires;20.43;14.3;7.15;7.15;7.15;7.15
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Auxiliaires;17.88;12.52;6.26;6.26;6.26;6.26
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Auxiliaires;20.81;14.56;7.28;7.28;7.28;7.28
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Auxiliaires;19.37;13.56;6.78;6.78;6.78;6.78
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Auxiliaires;17.39;12.18;6.09;6.09;6.09;6.09
Café Hôtel Restaurant;Petit bar café tabac;Auxiliaires;22.03;15.42;7.71;7.71;7.71;7.71
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Auxiliaires;31.22;21.86;10.93;10.93;10.93;10.93
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Auxiliaires;29.61;20.73;10.37;10.37;10.37;10.37
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Auxiliaires;26.9;18.83;9.42;9.42;9.42;9.42
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Auxiliaires;30.18;21.12;10.56;10.56;10.56;10.56
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Auxiliaires;27.64;19.35;9.67;9.67;9.67;9.67
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Auxiliaires;19.96;13.97;6.99;6.99;6.99;6.99
Café Hôtel Restaurant;Petit restaurant rapide;Auxiliaires;18.89;13.22;6.61;6.61;6.61;6.61
Café Hôtel Restaurant;Petit restaurant traditionnel;Auxiliaires;18.37;12.86;6.43;6.43;6.43;6.43
Café Hôtel Restaurant;Petite cantine;Auxiliaires;17.52;12.26;6.13;6.13;6.13;6.13
