BRANCHE,SS_BRANCHE,BAT_TYPE,PRODUCTION_CHAUD,ENERGIE,ID_AGREG,PERIODE,RDT,COUT,CEE
Bureaux Administration,Bureaux,plateau mince,Chaudière gaz,Gaz,0102850404,1,"0,7322006841","3,8420141137",364
Bureaux Administration,Bureaux,plateau mince,Electrique direct,Electricité,0102850602,1,"0,92","10,4",0
Bureaux Administration,Bureaux,plateau mince,PAC,Electricité,0102850902,1,"2,9448954419","58,3663687375",756
Bureaux Administration,Bureaux,plateau mince,Autre système centralisé performant,Autres,0102852101,1,"0,7788012319","24,3919400484",0
Bureaux Administration,Bureaux,plateau mince,Autre système centralisé performant,Urbain,0102852106,1,"0,7828579677","24,8672258751",935
Bureaux Administration,Bureaux,plateau mince,Chaudière condensation fioul,Fioul,0102852303,1,"0,7252783931","5,9655243179",819
Bureaux Administration,Bureaux,plateau mince,Chaudière condensation gaz,Gaz,0102852404,1,"0,9573688301","4,5738263258",819
Bureaux Administration,Bureaux,plateau mince,Electrique direct performant,Electricité,0102852602,1,1,12,0
Bureaux Administration,Bureaux,plateau mince,PAC performant,Electricité,0102852902,1,"3,3979562791","69,4837723065",819
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Autre système centralisé,Autres,0204160101,1,"0,7360407844","25,482333283",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Autre système centralisé,Urbain,0204160106,1,"0,6998543437","25,660531532",935
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Chaudière fioul,Fioul,0204160303,1,"0,5704314096","17,6832784096",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Chaudière gaz,Gaz,0204160404,1,"0,6861396038","12,599811787",462
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Electrique direct,Electricité,0204160602,1,"0,92","10,4",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,PAC,Electricité,0204160902,1,"2,9448954419","66,210954458",738
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Rooftop,Electricité,0204161002,1,"2,8041019535","33,0770171054",738
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Autre système centralisé performant,Autres,0204162101,1,"0,8492778281","30,3361110512",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Autre système centralisé performant,Urbain,0204162106,1,"0,8075242428","30,5482518238",935
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Chaudière condensation fioul,Fioul,0204162303,1,"0,7541897531","21,0515219162",1064
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Chaudière condensation gaz,Gaz,0204162404,1,"0,9817870822","14,9997759369",1064
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Electrique direct performant,Electricité,0204162602,1,1,12,0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,PAC performant,Electricité,0204162902,1,"3,3979562791","78,822564831",792
Café Hôtel Restaurant,"Café, cantine, traiteur",Grand bar café tabac,Rooftop performant,Electricité,0204163002,1,"3,3286102326","39,377401316",792
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Autre système centralisé,Autres,0204310101,1,"0,7286385796","34,5409010374",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Autre système centralisé,Urbain,0204310106,1,"0,6859935543","34,8104388957",935
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Chaudière fioul,Fioul,0204310303,1,"0,5706908645","23,6696205067",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Chaudière gaz,Gaz,0204310404,1,"0,6864351012","17,0195602854",462
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Electrique direct,Electricité,0204310602,1,"0,92","10,4",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,PAC,Electricité,0204310902,1,"2,9448954419","90,6908860174",738
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Rooftop,Electricité,0204311002,1,"2,8041019535","44,5993275643",738
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Autre système centralisé performant,Autres,0204312101,1,"0,8407368227","41,1201202826",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Autre système centralisé performant,Urbain,0204312106,1,"0,7915310242","41,4409986854",935
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Chaudière condensation fioul,Fioul,0204312303,1,"0,7566555379","28,1781196509",1064
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Chaudière condensation gaz,Gaz,0204312404,1,"0,9842764669","20,2613812921",1064
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Electrique direct performant,Electricité,0204312602,1,1,12,0
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,PAC performant,Electricité,0204312902,1,"3,3979562791","107,9653404969",792
Café Hôtel Restaurant,"Café, cantine, traiteur",Grande cantine,Rooftop performant,Electricité,0204313002,1,"3,3286102326","53,0944375765",792
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Autre système centralisé,Autres,0204620101,1,"0,732082912","38,826905693",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Autre système centralisé,Urbain,0204620106,1,"0,7186313586","38,8383561711",935
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Chaudière fioul,Fioul,0204620303,1,"0,5572980537","42,16296",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Chaudière gaz,Gaz,0204620404,1,"0,6730187515","42,16296",392
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Electrique direct,Electricité,0204620602,1,"0,92","10,4",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,PAC,Electricité,0204620902,1,"2,9448954419","72,2971635436",738
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Rooftop,Electricité,0204621002,1,"2,8041019535","69,855135",738
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Autre système centralisé performant,Autres,0204622101,1,"0,8447110523","46,2225067774",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Autre système centralisé performant,Urbain,0204622106,1,"0,8291900292","46,2361382989",935
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Chaudière condensation fioul,Fioul,0204622303,1,"0,7473925819","50,194",882
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Chaudière condensation gaz,Gaz,0204622404,1,"0,9749987443","50,194",882
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Electrique direct performant,Electricité,0204622602,1,1,12,0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,PAC performant,Electricité,0204622902,1,"3,3979562791","86,0680518376",792
Café Hôtel Restaurant,"Café, cantine, traiteur",Petit bar café tabac,Rooftop performant,Electricité,0204623002,1,"3,3286102326","83,160875",792
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Autre système centralisé,Autres,0204790101,1,"0,7356663029","77,469",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Autre système centralisé,Urbain,0204790106,1,"0,6913677839","77,469",935
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Chaudière fioul,Fioul,0204790303,1,"0,553633231","84,32592",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Chaudière gaz,Gaz,0204790404,1,"0,6693553509","84,32592",462
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Electrique direct,Electricité,0204790602,1,"0,92","10,4",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,PAC,Electricité,0204790902,1,"2,9448954419","47,8818659998",738
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Rooftop,Electricité,0204791002,1,"2,8041019535","139,71027",738
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Autre système centralisé performant,Autres,0204792101,1,"0,8488457342","92,225",0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Autre système centralisé performant,Urbain,0204792106,1,"0,7977320584","92,225",935
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Chaudière condensation fioul,Fioul,0204792303,1,"0,7462087778","100,388",1064
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Chaudière condensation gaz,Gaz,0204792404,1,"0,9738115995","100,388",1064
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Electrique direct performant,Electricité,0204792602,1,1,12,0
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,PAC performant,Electricité,0204792902,1,"3,3979562791","57,0022214284",792
Café Hôtel Restaurant,"Café, cantine, traiteur",Petite cantine,Rooftop performant,Electricité,0204793002,1,"3,3286102326","166,32175",792
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Autre système centralisé,Autres,0218200101,1,"0,6989662677","19,8331323737",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Autre système centralisé,Urbain,0218200106,1,"0,6141014355","19,9952667338",935
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Chaudière fioul,Fioul,0218200303,1,"0,5653014535","12,390805146",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Chaudière gaz,Gaz,0218200404,1,"0,6810073275","9,0313468238",462
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Electrique direct,Electricité,0218200602,1,"0,92","10,4",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,PAC,Electricité,0218200902,1,"2,9448954419","53,3763303211",738
