BRANCHE;SS_BRANCHE;BAT_TYPE;BRANCHE;SS_BRANCHE;BAT_TYPE;ID;SURFACE;taille bâtiment;Type facteur correctif;puissance;nb_etages_moy;taux_vitrage;hauteur étage;Smur/Spl;Sfen/Spl;Stoit/Spl;Splancher/Spl;Smur;Sfen;Stoit;Splancher;Smur/Sparois;Sfen/Sparois;Stoit/Sparois;Splancher/Sparois;FEN;FEN_MUR;ENS
Café Hôtel Restaurant;Restaurant;Grand restaurant rapide;02;26;29;022629;390;<5000m2;restauration;P>=30kW;1;0,3;3;0,42535053417514;0,18229308607506;1;1;165,886708328305;71,0943035692734;390;390;0,163116819672747;0,0699072084311771;0,383487985948038;0,383487985948038;0,0699072084311771;0,233024028103924;1
Café Hôtel Restaurant;Restaurant;Grand restaurant traditionnel;02;26;30;022630;393;<5000m2;restauration;P>=30kW;1;0,3;3;0,423723948736467;0,181595978029915;1;1;166,523511853432;71,3672193657564;393;393;0,162637971783518;0,0697019879072219;0,38383002015463;0,38383002015463;0,0697019879072219;0,23233995969074;1
Café Hôtel Restaurant;Restaurant;Petit restaurant rapide;02;26;77;022677;40;<5000m2;restauration;P<30kW;1;0,3;3;1,32815661727072;0,569209978830308;1;1;53,1262646908288;22,7683991532123;40;40;0,340783086353597;0,146049894151541;0,256583509747431;0,256583509747431;0,146049894151541;0,486832980505138;1
Café Hôtel Restaurant;Restaurant;Petit restaurant traditionnel;02;26;78;022678;40;<5000m2;restauration;P<30kW;1;0,3;3;1,32815661727072;0,569209978830308;1;1;53,1262646908288;22,7683991532123;40;40;0,340783086353597;0,146049894151541;0,256583509747431;0,256583509747431;0,146049894151541;0,486832980505138;1
Commerce;Commerce de détail non alimentaire;Complexe brico;03;06;09;030609;2676;<5000m2;commerces;P>=30kW;3;0,1;3;0,361610746298509;0,0401789718109455;0,333333333333333;0,333333333333333;967,670357094811;107,51892856609;892;892;0,338442215752475;0,0376046906391639;0,311976546804181;0,311976546804181;0,0376046906391639;0,376046906391639;1
Commerce;Commerce de détail non alimentaire;Grand brico;03;06;17;030617;1062;<5000m2;commerces;P>=30kW;1;0,1;3;0,331406862443396;0,0368229847159329;1;1;351,954087914887;39,1060097683208;1062;1062;0,13993863933474;0,01554873770386;0,4222563114807;0,4222563114807;0,01554873770386;0,1554873770386;1
Commerce;Commerce de détail non alimentaire;Grand librairie;03;06;26;030626;860;<5000m2;commerces;P>=30kW;3;0,1;3;0,637874377076108;0,0708749307862342;0,333333333333333;0,333333333333333;548,571964285453;60,9524404761614;286,666666666667;286,666666666667;0,463768335462687;0,0515298150514097;0,242350924742952;0,242350924742952;0,0515298150514097;0,515298150514097;1
Commerce;Commerce de détail non alimentaire;Grand Mode;03;06;27;030627;621;<5000m2;commerces;P>=30kW;3;0,1;3;0,750651890605469;0,0834057656228299;0,333333333333333;0,333333333333333;466,154824065996;51,7949804517774;207;207;0,500193059547024;0,055577006616336;0,22211496691832;0,22211496691832;0,055577006616336;0,55577006616336;1
Commerce;Commerce de détail non alimentaire;Petit brico;03;06;64;030664;131;<5000m2;commerces;P<30kW;1;0,2;3;0,838755894394597;0,209688973598649;1;1;109,877022165692;27,469255541423;131;131;0,275142221924695;0,0687855554811739;0,328036111297065;0,328036111297065;0,0687855554811739;0,343927777405869;1
Commerce;Commerce de détail non alimentaire;Petit librairie;03;06;73;030673;101;<5000m2;commerces;P<30kW;1;0,2;3;0,95523570260159;0,238808925650397;1;1;96,4788059627606;24,1197014906901;101;101;0,299067738175081;0,0747669345437703;0,313082663640574;0,313082663640574;0,0747669345437703;0,373834672718851;1
Commerce;Commerce de détail non alimentaire;Petit mode;03;06;74;030674;69;<5000m2;commerces;P<30kW;1;0,2;3;1,15570418962338;0,288926047405846;1;1;79,7435890840135;19,9358972710034;69;69;0,335508925515356;0,0838772313788391;0,290306921552902;0,290306921552902;0,0838772313788391;0,419386156894195;1
Commerce;Commerce de détail non alimentaire;ZAC Mode;03;06;96;030696;204;<5000m2;commerces;P>=30kW;1;0,1;3;0,756151245375125;0,0840168050416806;1;1;154,254854056526;17,1394282285028;204;204;0,26623468469204;0,0295816316324489;0,352091841837755;0,352091841837755;0,0295816316324489;0,295816316324489;1
Commerce;Commerce de gros;Grand commerce de gros;03;07;19;030719;6511;5000<S<10000;commerces;P>=30kW;1;0,1;3;0,133844308354224;0,0148715898171359;1;1;871,460291694349;96,8289212993721;6511;6511;0,0622903700150077;0,00692115222388974;0,465394238880551;0,465394238880551;0,00692115222388974;0,0692115222388974;1
Commerce;Commerce de gros;Petit commerce de gros;03;07;66;030766;236;<5000m2;commerces;P>=30kW;1;0,2;3;0,624906772707955;0,156226693176989;1;1;147,477998359077;36,8694995897693;236;236;0,224694995897693;0,0561737489744233;0,359565627563942;0,359565627563942;0,0561737489744233;0,280868744872116;1
Commerce;Entrepôt;Entrepôt;03;12;12;031212;1488;<5000m2;commerces;P>=30kW;1;0,05;3;0,295531232998171;0,0155542754209564;1;1;439,750474701279;23,1447618263831;1488;1488;0,127875507817245;0,00673028988511815;0,432697101148819;0,432697101148819;0,00673028988511815;0,134605797702363;1
Commerce;Grand commerce alimentaire;Grand alimentaire;03;16;15;031615;1779;<5000m2;commerces;P>=30kW;3;0,1;3;0,443502843670718;0,0492780937411909;0,333333333333333;0,333333333333333;788,991558890208;87,6657287655786;593;593;0,382512191245739;0,0425013545828599;0,2874932270857;0,2874932270857;0,0425013545828599;0,425013545828599;1
Commerce;Grand commerce alimentaire;Hypermarché;03;16;41;031641;6373;5000<S<10000;commerces;P>=30kW;1;0,1;3;0,135285669820608;0,0150317410911787;1;1;862,175573766736;95,7972859740818;6373;6373;0,062914279135769;0,00699047545952989;0,465047622702351;0,465047622702351;0,00699047545952989;0,0699047545952989;1
