SCENARIO;BRANCHE;SS_BRANCHE;BAT_TYPE;PERIODE_DETAIL;PERIODE_SIMPLE;ENERGIE;BESOIN;SURFACE_CHAUFFEE;ETABLISSEMENTS;COUT_PLAN_MIN;COUT_PLAN_MAX;COUT_FEN_MIN;COUT_FEN_MAX;COUT_MUR_MIN;COUT_MUR_MAX;COUT_TOIT_MIN;COUT_TOIT_MAX
Maximal;Sport Loisir Culture;Culture;Immeuble péri urbain;Av 1980;Av 1980;Autres;696659,278409697;130567,280114394;307278,949441938;720258,229331662;926046,294854994;17548242,4473746;25068917,7819638;4700422,08411821;6016540,26767132;617364,196569996;823152,262093328
BBC renovation;Sport Loisir Culture;Culture;Musée;1999-2008;1999-2008;Urbain;1018281,03642112;129833,32864;116042,431903836;0;0;0;0;6426749,76768;8763749,6832;2163557,89561566;2472637,59498933
BBC renovation;Habitat Communautaire;Service à la personne;Résidentiel;1999-2008;1999-2008;Autres;847997,779179232;13712,5555555555;13712,5555555555;0;0;0;0;0;0;0;0
BBC renovation;Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);1961-1980;Av 1980;Autres;2538718,89818815;353757,856648145;401513,659186224;4956802,08004796;6373031,24577595;15456049,9386566;18890727,7028026;7556291,08112104;10304033,2924377;9913604,16009592;11329833,3258239
Maximal;Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);1961-1980;Av 1980;Autres;1931505,62105063;353757,856648145;401513,659186224;4956802,08004796;6373031,24577595;27477422,1131674;37781455,4056052;8586694,41036482;10990968,8452669;11329833,3258239;12746062,4915519
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Haut de gamme;Av 1980;Av 1980;Gaz;362410,49420479;29898,7041666666;28433,6988541666;373733,802083333;411107,182291666;4779421,51199594;5575991,76399526;1748986,77233091;2040484,56771939;747467,604166666;822214,364583333
Modeste bati;Sport Loisir Culture;Culture;Petit cinéma;1999-2008;1999-2008;Autres;125902,202632351;6432,4837804923;3778,001146104;0;0;0;0;0;0;0;0
BBC renovation;Transport;Transport maritime et fluvial;nr;Av 1980;Av 1980;Urbain;3153639,37507893;20101,4919845189;21836,0508067917;0;0;0;0;0;0;0;0
Modeste bati;Commerce;Commerce de détail non alimentaire;Grand Mode;1999-2008;1999-2008;Autres;355355,91419342;8343,8769918578;4909,1186898747;0;0;664728,868130523;997093,302195785;87854,0713960911;112955,234652117;27812,9233061927;55625,8466123855
Maximal;Enseignement Recherche;Enseignement supérieur et recherche;école;avant 1960;Av 1980;Electricité;1229299,74780204;115145,369347561;51476,4990348626;2015043,96358232;2590770,81032013;14794762,5677231;20342798,5306193;4623363,30241348;5917905,02708925;1727180,54021342;2302907,38695123
