"BRANCHE";"BAT_TYPE";"PRODUCTION_CHAUD";"ENERGIE";"CINT";"COUT_VARIABLE"
Sport Loisir Culture;Petite salle de spectacle;Rooftop;Electricité;9.73337;7.37597
Bureaux Administration;immeuble rénové;Autre système centralisé performant;Autres;11.7023;10.33604
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Chaudière condensation gaz;Gaz;8.240938;4.954852
Sport Loisir Culture;Grande salle de spectacle;Autre système centralisé performant;Urbain;3.096483;6.44624
Sport Loisir Culture;Musée;Chaudière condensation fioul;Fioul;1.77917;11.18798
Commerce;Petit librairie;Autre système centralisé;Urbain;7.5014;8.74051
Sport Loisir Culture;Petite salle multisport;Electrique direct performant;Electricité;3.51794;18.53662
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Electrique direct performant;Electricité;2.070648;9.236752
Santé Action Sociale;Hopital bloc;Chaudière condensation gaz;Gaz;6.892643;4.549227
Sport Loisir Culture;Petit cinéma;Chaudière condensation fioul;Fioul;-0.05014;18.4702
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Chaudière gaz;Gaz;5;3.886087
Sport Loisir Culture;Vestiaire et rangement;Chaudière condensation gaz;Gaz;8.87688;15.1979
Commerce;Petit boulangerie;Autre système centralisé performant;Urbain;7.29762;14.13563
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Electrique direct;Electricité;-3.06253;18.5798
Commerce;Petit process;Chaudière condensation gaz;Gaz;7.948727;9.201253
Enseignement Recherche;Internat LEGT;PAC;Electricité;1.22131;13.21382
Bureaux Administration;plateau large bureaux cloisonnés;Autre système centralisé performant;Urbain;3.65242;10.74462
Commerce;Grand Mode;Autre système centralisé performant;Autres;11.06651;7.247684
Habitat Communautaire;Résidence universitaire;Chaudière fioul;Fioul;0.943541;8.956071
Enseignement Recherche;Cantine élémentaire;Autre système centralisé;Autres;7.30523;22.90244
Sport Loisir Culture;Salle non spécialisée;Electrique direct;Electricité;2.68611;11.58637
Sport Loisir Culture;Musée;Autre système centralisé;Autres;8.580286;6.473174
Santé Action Sociale;Garderie;Chaudière fioul;Fioul;0.10445;10.13639
Enseignement Recherche;R&D sciences physiques et naturelles;PAC;Electricité;1.90689;10.46276
Habitat Communautaire;Maison de pré-retraite;PAC;Electricité;1.97736;11.84134
Enseignement Recherche;Cantine préélémentaire;Electrique direct;Electricité;-6.08851;28.8216
Sport Loisir Culture;Grand bar café tabac;Autre système centralisé performant;Autres;11.47129;8.657631
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Autre système centralisé performant;Urbain;3.92284;15.64098
Commerce;Entrepôt;Autre système centralisé performant;Urbain;6.867054;6.380186
Sport Loisir Culture;Petite salle multisport;Electrique direct;Electricité;-1.07382;19.61942
Café Hôtel Restaurant;Petit restaurant traditionnel;Electrique direct performant;Electricité;13.85206;13.85073
Sport Loisir Culture;Grande salle de spectacle;Tube radiant;Gaz;4.264037;3.431178
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Chaudière condensation gaz;Gaz;8.517796;5.966974
Commerce;Grand librairie;Chaudière gaz;Gaz;4.999998;5.111242
Habitat Communautaire;Résidence universitaire;Autre système centralisé;Urbain;6.327695;5.099585
Enseignement Recherche;Cantine collége;Autre système centralisé performant;Autres;7.39168;21.62074
Commerce;Petit boulangerie;Chaudière condensation fioul;Fioul;0.50428;18.17578
Enseignement Recherche;Lycée professionnel (LP);Autre système centralisé performant;Autres;8.664433;7.416797
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Rooftop;Electricité;2.70069;17.7039
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Rooftop;Electricité;5.84717;10.92488
Bureaux Administration;immeuble peri urbain;Chaudière condensation gaz;Gaz;8.938333;7.218747
Enseignement Recherche;Cantine LEGT;PAC performant;Electricité;0.22375;34.84232
Enseignement Recherche;Cantine élémentaire;Chaudière condensation fioul;Fioul;-5.65487;27.49539
Santé Action Sociale;Garderie;Autre système centralisé;Urbain;1.995862;9.307228
Commerce;Grand Mode;Autre système centralisé performant;Urbain;7.764448;7.875032
Commerce;ZAC Mode;Chaudière fioul;Fioul;-0.22414;12.36912
