"COD_BRANCHE";"COD_BAT_TYPE";"COD_PRODUCTION_CHAUD";"COD_ENERGIE";"ANNEE";"SURFACES";"BESOIN";"CONSOMMATION_EF"
"03";"27";"03";"03";"2010";380940.6093;28137415.672399998;40909298.6
"03";"27";"04";"04";"2010";619494.8572000001;47775476.254700005;61321364.087000005
"03";"27";"06";"02";"2010";304433.0618;24474445.9537;26602657.702000003
"03";"27";"09";"02";"2010";240581.7182;17758006.643699996;5423285.347999998
"03";"27";"21";"01";"2010";472.9836;21518.403;11520.721
"03";"27";"21";"06";"2010";779.9712;35484.8132;18827.828
"03";"27";"23";"03";"2010";298.3251;13572.3094;17884.186
"03";"27";"24";"04";"2010";6096.2787;277350.3823;281117.34
"03";"27";"26";"02";"2010";4388.4963;199654.7709;199654.82
"03";"27";"29";"02";"2010";269.5532;12263.3309;3608.985
"03";"28";"01";"01";"2010";298089.2236;28483535.415599998;17670784.1693
"03";"28";"01";"06";"2010";162989.0413;15802810.6831;9477516.3521
"03";"28";"03";"03";"2010";2116152.2171000005;208963960.2273;303638460.6510001
"03";"28";"04";"04";"2010";2654708.4864000008;268124631.4585;343970027.47340006
"03";"28";"06";"02";"2010";1788808.2989999999;189616792.14099994;206105205.11750007
"03";"28";"09";"02";"2010";1347143.0136000004;132650778.27049999;40511478.25039999
"03";"28";"21";"01";"2010";2445.4539;152472.5346;81978.8889
"03";"28";"21";"06";"2010";4188.0828;261124.366;135719.5256
"03";"28";"23";"03";"2010";1313.2757;81881.9256;107867.1138
"03";"28";"24";"04";"2010";28964.25;1805903.0297;1829874.8105000001
"03";"28";"26";"02";"2010";24042.3269;1540693.8499;1540693.8549
"03";"28";"29";"02";"2010";1771.6328;110460.2066;32507.4184
"03";"41";"01";"01";"2010";296850.1103;31811763.8665;19621146.3753
"03";"41";"01";"06";"2010";129572.3525;14409056.9052;9015239.240999999
"03";"41";"03";"03";"2010";1652226.9129;185111949.39020002;268511668.29999995
"03";"41";"04";"04";"2010";3913054.9257;437566962.92779994;560480267.23
"03";"41";"06";"02";"2010";1392363.0288;162531514.4389;176664684.94
"03";"41";"10";"02";"2010";1086558.7873999998;122531053.4202;43697104.81
"03";"41";"21";"01";"2010";1872.331;137143.9019;73311.54
"03";"41";"21";"06";"2010";3360.4637;246146.1698;133470.43
"03";"41";"23";"03";"2010";1070.1098;78383.0602;102918.94
"03";"41";"24";"04";"2010";28196.6827;2065341.5915;2087468.5
"03";"41";"26";"02";"2010";18805.0068;1377423.1205;1377423.2
"03";"41";"30";"02";"2010";4333.816;317441.9675;95368.01
"03";"63";"01";"01";"2010";206986.0182;26064770.5348;16069526.035899997
"03";"63";"01";"06";"2010";186712.403;25854845.666100003;15215893.301
"03";"63";"03";"03";"2010";512739.0911;67291635.0462;99809602.5
"03";"63";"04";"04";"2010";833155.8598999999;121419098.16809998;153481347.84
"03";"63";"06";"02";"2010";627957.0944;81363013.3883;88438064.03
"03";"63";"09";"02";"2010";492757.2835;57194730.75709999;17467239.790000003
"03";"63";"21";"01";"2010";735.0303;63447.0069;33901.69
"03";"63";"21";"06";"2010";1208.9729;104357.2109;53224.47
"03";"63";"23";"03";"2010";423.8219;36583.8402;48674.62
"03";"63";"24";"04";"2010";8383.4093;723646.669;734741.3
"03";"63";"26";"02";"2010";10284.6132;903479.05;903479.02
"03";"63";"29";"02";"2010";574.7112;49608.4386;14599.3
"03";"64";"01";"01";"2010";688336.7940999999;54267577.196399994;33465452
"03";"64";"01";"06";"2010";754114.9383;66004036.55799998;40253723.960999995
"03";"64";"03";"03";"2010";5242387.269100001;444392038.40919995;662085938.95
"03";"64";"04";"04";"2010";7133803.4012;652904151.1872001;856155443.8484001
"03";"64";"06";"02";"2010";4936909.1691;429816030.9129;467191304.5544
"03";"64";"09";"02";"2010";2282973.6169;194982826.6025;59547648.524799995
"03";"64";"21";"01";"2010";6170.1805;331400.2096;177124.6925
"03";"64";"21";"06";"2010";9576.2941;514342.4688;271865.5658
"03";"64";"23";"03";"2010";3982.0949;213878.1977;285475.4426
"03";"64";"24";"04";"2010";57661.7342;3097010.0141;3169918.3584000003
"03";"64";"26";"02";"2010";121579.8;8395156.4613;8395156.3655
"03";"64";"29";"02";"2010";6864.2248;368677.308;108498.3223
"03";"66";"01";"01";"2010";1409158.7883000001;113792643.71009998;70238032.7745
"03";"66";"01";"06";"2010";1407297.8542000002;110076226.39140001;67535566.9089
"03";"66";"03";"03";"2010";6917949.2955;567651185.0550001;823398806.6999999
"03";"66";"04";"04";"2010";15435687.3317;1284260170.2811;1645011109.4823997
"03";"66";"06";"02";"2010";7134948.240900001;622762409.4477999;676915705.5348
"03";"66";"10";"02";"2010";7324315.154200001;635494601.2357;226630479.1239
"03";"66";"21";"01";"2010";9154.5596;495592.0624000001;265121.7144
"03";"66";"21";"06";"2010";15849.4788;858028.8107;456228.3638000001
"03";"66";"23";"03";"2010";5705.3537;308865.5414;405548.2294
"03";"66";"24";"04";"2010";129025.4267;6984932.1121000005;7059765.2414
"03";"66";"26";"02";"2010";87501.9688;4737014.458099999;4737014.324899999
"03";"66";"30";"02";"2010";20756.7901;1123691.4569;337586.7448
"03";"73";"01";"01";"2010";299801.6515;23076388.0785;14267013.46
"03";"73";"01";"06";"2010";496100.4544;43478881.788600005;26392178.571599998
"03";"73";"03";"03";"2010";1797191.6122;151591943.957;225818481.574
"03";"73";"04";"04";"2010";3003002.1293;279132378.6583;365252729.4153001
"03";"73";"06";"02";"2010";1706952.5598999998;142432546.37320003;154817988.107
"03";"73";"09";"02";"2010";1355044.2323;105909380.6618;32344665.2095
"03";"73";"21";"01";"2010";2533.3047;137537.4947;73700.722
"03";"73";"21";"06";"2010";3965.91;215316.1149;113372.2545
"03";"73";"23";"03";"2010";1631.124;88556.5438;118185.6976
