ID_AGREG_PARC;ID_AGREG;ID_GESTE_BATI;BRANCHE;SS_BRANCHE;BAT_TYPE;OCCUPANT;PERIODE_DETAIL;GESTE;CINT;COUT_VARIABLE
01014403;0101440307;0101440307ENSBBC;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1981_1998;ENSBBC;9.321765;4.042875
01014403;0101440307;0101440307FEN_MURMOD;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1981_1998;FEN_MURMOD;0.810917;7.616601
01014403;0101440307;0101440307FENBBC;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1981_1998;FENBBC;5.193392;7.062038
01014403;0101440307;0101440307ENSMOD;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1981_1998;ENSMOD;4.1946;4.995673
01014403;0101440307;0101440307FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1981_1998;FEN_MURBBC;5.018842;7.236588
01014403;0101440311;0101440311GTB;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1999_2008;GTB;-2.962478;6.046226
01014403;0101440311;0101440311ENSBBC;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1999_2008;ENSBBC;2.491826;2.798246
01014403;0101440311;0101440311FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1999_2008;FEN_MURBBC;0.992637;3.85838
01014403;0101440311;0101440311Etat initial;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1999_2008;Etat initial;0;1.827864
01014403;0101440317;0101440317FENMOD;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_BEFORE_1980;FENMOD;8.99271;12.55856
01014403;0101440317;0101440317ENSMOD;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_BEFORE_1980;ENSMOD;18.3004;5.201429
01014403;0101440317;0101440317FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_BEFORE_1980;FEN_MURBBC;20.29891;11.04128
01014403;0101440317;0101440317ENSBBC;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_BEFORE_1980;ENSBBC;29.96311;4.213606
01014403;0101440317;0101440317FENBBC;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_BEFORE_1980;FENBBC;19.06491;12.27528
01014403;0101440317;0101440317FEN_MURMOD;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_BEFORE_1980;FEN_MURMOD;10.11519;11.43608
01014403;0101440317;0101440317GTB;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_BEFORE_1980;GTB;5.36619;14.55649
01014403;0101440317;0101440317Etat initial;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_BEFORE_1980;Etat initial;0;11.83994
01014404;0101440407;0101440407Etat initial;Bureaux Administration;Administration;immeuble rénové;Para public;PERIODE_1981_1998;Etat initial;0;5.4258
01014404;0101440407;0101440407FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Para public;PERIODE_1981_1998;FEN_MURBBC;6.587296;7.774734
01014404;0101440407;0101440407ENSMOD;Bureaux Administration;Administration;immeuble rénové;Para public;PERIODE_1981_1998;ENSMOD;5.381225;5.388785
01014404;0101440407;0101440407FEN_MURMOD;Bureaux Administration;Administration;immeuble rénové;Para public;PERIODE_1981_1998;FEN_MURMOD;1.640892;8.235246
