annee;branche;periodeSimple;energieChauffage;systeme_chauff;surface
2011;01;04;01;01;136830.99629999994
2011;01;04;01;21;36560.69199999998
2011;01;04;02;05;76355.0117
2011;01;04;02;06;1996292.0497000003
2011;01;04;02;09;308234.32820000016
2011;01;04;02;26;560187.6143999998
2011;01;04;04;04;2081039.7625999996
2011;01;04;04;24;1458099.8218999999
2011;01;04;06;01;56358.90570000001
2011;01;04;06;21;31643.305300000004
2011;02;01;01;01;303617.44349999994
2011;02;01;02;06;2119965.3606000002
2011;02;01;02;09;934579.5464
2011;02;01;02;10;1813993.4753999994
2011;02;01;02;26;168.6592
2011;02;01;03;03;2131129.262000001
2011;02;01;04;04;3882452.0603000005
2011;02;01;06;01;609788.6939999999
2011;02;02;01;01;148177.0710999999
2011;02;02;02;06;1136016.1181
2011;02;02;02;09;493329.50729999994
2011;02;02;02;10;1028582.7832
2011;02;02;02;26;19.9559
2011;02;02;03;03;1149379.0417
2011;02;02;04;04;2019094.9600000002
2011;02;02;06;01;263073.5736
2011;02;03;01;01;1020068.7229999999
2011;02;03;02;06;8009214.360500001
2011;02;03;02;09;3571153.3432999984
2011;02;03;02;10;6941860.834899999
2011;02;03;02;26;610.6478
2011;02;03;03;03;8061980.509400002
2011;02;03;04;04;1.51804303702E7
2011;02;03;04;24;823.7793
2011;02;03;06;01;2865360.6318000006
2011;02;04;01;01;8390.0203
2011;02;04;01;21;829.9583000000001
2011;02;04;02;06;65483.752399999976
2011;02;04;02;09;315577.29339999985
2011;02;04;02;10;598345.4578999999
2011;02;04;02;26;56563.19289999999
2011;02;04;02;29;24248.7456
2011;02;04;02;30;16232.5652
2011;02;04;04;04;67821.87370000003
2011;02;04;04;24;34562.7336
2011;02;04;06;01;14.057699999999999
2011;03;01;01;01;2612359.4734000005
2011;03;01;02;06;7642675.176100001
2011;03;01;02;09;2356567.1924
2011;03;01;02;10;4909584.7721
2011;03;01;02;26;12423.545399999999
2011;03;01;03;03;9571894.047200002
2011;03;01;04;04;1.6896568241999995E7
2011;03;01;04;24;182180.176
2011;03;01;06;01;1133225.0198000001
2011;03;02;01;01;2601052.768199999
2011;03;02;02;06;7623031.991999999
2011;03;02;02;09;2255139.8943
2011;03;02;02;10;4540903.7445
2011;03;02;02;26;19762.2098
2011;03;02;03;03;9235737.994100003
2011;03;02;04;04;1.6349105634699997E7
2011;03;02;04;24;161258.4522
2011;03;02;06;01;742200.9383999999
2011;03;03;01;01;6189069.784800002
2011;03;03;02;06;1.70957304188E7
2011;03;03;02;09;6181175.3875
2011;03;03;02;10;1.32935211388E7
2011;03;03;02;26;26426.0342
2011;03;03;03;03;2.40405533945E7
2011;03;03;04;04;4.124705716770001E7
2011;03;03;04;24;519129.65790000005
2011;03;03;06;01;4699499.6899000015
2011;03;04;01;01;372806.93050000025
2011;03;04;01;21;23.233699999999995
2011;03;04;02;06;375295.35630000004
2011;03;04;02;09;364381.3142
2011;03;04;02;10;883720.6273000003
2011;03;04;02;26;270011.9109
2011;03;04;02;29;3675.645
2011;03;04;02;30;8070.367800000001
2011;03;04;04;04;675054.3821000002
2011;03;04;04;24;239727.7294
2011;03;04;06;01;297921.6879000001
2011;03;04;06;21;21881.572799999994
2011;04;01;01;01;2157516.0837999997
2011;04;01;02;06;3462537.3183
2011;04;01;02;09;1741185.5806000002
